City,Latitude,Longitude,Temperature (F),Humidity,Cloud Cover,Wind Speed,Time Stamp
Moscow,55.75,37.62,57.51,93,0,2.24,2019_07_14 14.52
Jamame,0.07,42.75,77.02,74,77,9.31,2019_07_14 14.52
Sao Filipe,14.9,-24.5,74.32,87,9,12.44,2019_07_14 14.52
Shubarkuduk,49.15,56.49,69.82,84,80,22.15,2019_07_14 14.52
Dawei,14.07,98.19,81.16,76,100,5.77,2019_07_14 14.52
Hounde,11.5,-3.52,77.92,75,25,4.07,2019_07_14 14.52
Senovo,43.65,26.37,59.2,89,35,3.47,2019_07_14 14.52
Nome,30.04,-94.42,84.63,100,90,11.41,2019_07_14 14.52
Nyurba,63.29,118.35,61.36,91,88,6.26,2019_07_14 14.52
Shenjiamen,29.96,122.3,73.96,91,20,3.42,2019_07_14 14.52
Dayong,25.02,118.29,82.4,88,0,4.47,2019_07_14 14.52
Manaus,-3.13,-59.98,88.72,62,40,4.7,2019_07_14 14.52
Znin,52.85,17.72,58.26,51,0,6.93,2019_07_14 14.52
Beringovskiy,63.05,179.32,55.42,82,100,3.11,2019_07_14 14.52
Lamu,35.77,102.37,51.1,79,100,1.39,2019_07_14 14.52
Hastings,-39.64,176.84,46.06,79,0,2.68,2019_07_14 14.52
Bar,49.07,27.67,58.48,88,100,3.04,2019_07_14 14.52
Zyryanka,65.73,150.89,58.84,67,50,27.07,2019_07_14 14.52
Hay River,60.82,-115.79,66.2,68,40,10.29,2019_07_14 14.52
Xinmin,42,122.83,69.8,94,90,2.24,2019_07_14 14.52
Fairbanks,64.84,-147.72,71.92,56,1,6.93,2019_07_14 14.52
Ugoofaaru,5.67,73,83.5,72,100,8.46,2019_07_14 14.52
Ambilobe,-13.19,49.05,67.66,66,0,13.51,2019_07_14 14.52
Praia,-20.25,-43.81,78.8,31,0,6.93,2019_07_14 14.52
Xichang,27.88,102.25,55.42,98,100,2.48,2019_07_14 14.52
Colares,38.8,-9.45,67.66,77,20,9.17,2019_07_14 14.52
Haines Junction,60.75,-137.51,64.24,41,22,8.97,2019_07_14 14.52
Ler,63.2,10.3,50.34,81,75,10.29,2019_07_14 14.52
Luganville,-15.51,167.18,73.4,100,75,1.12,2019_07_14 14.53
Hervey Bay,-25.3,152.85,46.2,49,66,6.93,2019_07_14 14.53
Tromso,69.65,18.96,49.5,70,75,10.29,2019_07_14 14.53
Winfield,37.24,-97,91.33,55,40,11.41,2019_07_14 14.53
Chudniv,50.05,28.12,57.04,89,100,4,2019_07_14 14.53
Kaeo,-35.1,173.78,45,95,0,3,2019_07_14 14.53
Koshurnikovo,54.3,93.39,52,85,0,4.09,2019_07_14 14.53
Zabol,31.03,61.49,95,17,0,24.16,2019_07_14 14.53
Huarmey,-10.07,-78.15,62.44,84,0,16.35,2019_07_14 14.53
Dothan,31.22,-85.39,78.53,65,90,12.75,2019_07_14 14.53
Boulsa,12.66,-0.57,86.38,49,3,7.63,2019_07_14 14.53
Biltine,14.53,20.93,95.38,26,0,9.48,2019_07_14 14.53
Tokmak,47.26,35.7,64.24,63,38,6.26,2019_07_14 14.53
Letlhakane,-21.42,25.59,57.76,35,0,11.03,2019_07_14 14.53
Ballina,54.11,-9.15,64.4,56,20,4.7,2019_07_14 14.53
Kandi,11.13,2.93,80.62,66,60,3.94,2019_07_14 14.53
Eirunepe,-6.66,-69.87,80.26,85,83,3.76,2019_07_14 14.53
Vryburg,-26.96,24.73,48.94,40,0,4.38,2019_07_14 14.53
Chesley,44.3,-81.09,70.68,64,75,6.93,2019_07_14 14.53
Mumford,5.26,-0.76,72.16,91,5,3.53,2019_07_14 14.53
Darovskoy,58.77,47.96,52.54,93,0,2.93,2019_07_14 14.53
Nouakchott,18.08,-15.98,77,78,0,21.92,2019_07_14 14.53
Mackay,53.65,-115.58,69.91,52,100,2.24,2019_07_14 14.53
Erdenet,49.03,104.04,57.58,93,100,5.73,2019_07_14 14.53
Lavrentiya,65.58,-170.99,62.8,60,100,4.05,2019_07_14 14.53
Tautira,-17.73,-149.15,79.39,74,75,12.75,2019_07_14 14.53
Loukhi,66.08,33.04,46.78,90,100,11.39,2019_07_14 14.53
Paraiso,-0.03,-51.17,86,70,40,13.87,2019_07_14 14.53
Roebourne,-20.77,117.15,62.8,26,0,17.25,2019_07_14 14.53
Cheremisinovo,51.89,37.26,60.8,63,40,2.24,2019_07_14 14.53
Venezuela,21.74,-78.8,87.82,62,78,15.88,2019_07_14 14.53
Fecamp,49.76,0.37,59.58,67,0,8.05,2019_07_14 14.53
Saint George,39.45,22.34,73.26,57,40,2.04,2019_07_14 14.53
Straumen,63.87,11.3,50.74,81,75,10.29,2019_07_14 14.53
Neosho,43.31,-88.52,84,51,40,5.82,2019_07_14 14.53
Vila Velha,-3.71,-38.6,82.83,65,0,10.29,2019_07_14 14.53
Sorland,67.67,12.69,50,81,75,4.7,2019_07_14 14.53
Belmonte,40.36,-7.35,69.01,77,0,1.01,2019_07_14 14.53
Akom,2.67,12.71,66.76,98,61,1.23,2019_07_14 14.53
Kulhudhuffushi,6.62,73.07,83.14,71,100,7.36,2019_07_14 14.53
Dandong,40.12,124.37,68.38,94,100,3.98,2019_07_14 14.53
Blackfoot,43.19,-112.35,87.76,21,20,10.29,2019_07_14 14.53
Mayo,63.59,-135.9,73.4,43,75,6.93,2019_07_14 14.53
Reykjavik,64.15,-21.94,55.83,100,90,16.11,2019_07_14 14.53
Sayat,38.78,63.88,87.8,23,0,13.87,2019_07_14 14.53
Paoua,7.24,16.43,68.38,93,21,1.97,2019_07_14 14.53
Haapiti,-17.57,-149.87,80.28,74,75,12.75,2019_07_14 14.53
Puerto Montt,-41.47,-72.94,48.2,87,75,8.05,2019_07_14 14.53
Rosarito,4.91,-75.23,79.11,64,75,3.36,2019_07_14 14.53
Ajdabiya,30.75,20.22,79,86,0,7.25,2019_07_14 14.53
Salinas,36.67,-121.66,78.24,33,1,13.87,2019_07_14 14.53
Mount Isa,-20.73,139.49,50,34,0,17.22,2019_07_14 14.53
Filadelfia,-22.35,-60.04,70.54,84,88,7.47,2019_07_14 14.53
Rock Hill,34.92,-81.03,91.17,52,40,3.36,2019_07_14 14.53
Oranjestad,12.52,-70.03,87.8,66,40,24.16,2019_07_14 14.53
Tilichiki,60.47,166.1,63.16,63,36,6.04,2019_07_14 14.53
Kazachinskoye,57.69,93.28,54.34,72,50,4.43,2019_07_14 14.53
Itarema,-2.92,-39.92,76.48,81,84,7.02,2019_07_14 14.53
Maningrida,-12.05,134.23,63.7,64,81,11.83,2019_07_14 14.53
Chizhou,30.67,117.49,70.9,89,0,3.8,2019_07_14 14.53
General Roca,-39.03,-67.58,57.2,26,0,20.8,2019_07_14 14.53
Loei,17.49,101.72,71.98,85,100,5.99,2019_07_14 14.53
Montorio al Vomano,42.58,13.64,68.54,73,0,1.12,2019_07_14 14.53
Darhan,49.49,105.92,61.54,84,100,5.44,2019_07_14 14.53
Bay Roberts,47.58,-53.28,51.87,93,90,13.87,2019_07_14 14.53
Puerto del Rosario,28.5,-13.86,73.4,73,20,23.04,2019_07_14 14.53
Poya,-21.35,165.16,70.72,84,73,15.68,2019_07_14 14.53
Shurugwi,-19.67,30,49.3,50,0,8.46,2019_07_14 14.53
Massakory,13,15.73,83.68,60,0,15.93,2019_07_14 14.53
Tramagal,39.45,-8.25,69.82,88,90,8.05,2019_07_14 14.53
Gamba,28.28,88.52,39.58,80,81,3.04,2019_07_14 14.53
Yumen,40.29,97.04,73.6,24,0,6.58,2019_07_14 14.53
Copiapo,-27.37,-70.33,59,67,0,11.41,2019_07_14 14.53
Quatre Cocos,-20.21,57.76,64.71,77,40,3.36,2019_07_14 14.53
Gat,14.69,-16.54,80.6,74,0,9.17,2019_07_14 14.53
Gela,37.07,14.25,72.93,69,20,5.82,2019_07_14 14.53
Horn,48.66,15.66,57.69,93,0,4.7,2019_07_14 14.53
Along,28.17,94.8,59.74,100,100,1.99,2019_07_14 14.53
Bitkine,11.98,18.21,80.62,69,34,11.3,2019_07_14 14.53
Porto Nacional,-10.7,-48.41,91.4,33,40,5.82,2019_07_14 14.53
Mandan,46.83,-100.89,87.53,66,1,8.05,2019_07_14 14.53
Mo i Rana,66.32,14.15,50,76,75,8.05,2019_07_14 14.53
Bonavista,48.65,-53.11,52,81,100,4,2019_07_14 14.53
Rorvik,64.86,11.24,49.64,87,75,5.82,2019_07_14 14.53
Barcelona,41.38,2.18,74.01,73,0,4.7,2019_07_14 14.53
Nueva Gerona,21.88,-82.8,86.74,67,1,12.57,2019_07_14 14.53
Chestermere,51.04,-113.82,71.08,67,75,18.34,2019_07_14 14.53
Port Hedland,-20.31,118.58,55.4,47,0,6.93,2019_07_14 14.53
Chinsali,-10.55,32.07,58.48,56,0,9.1,2019_07_14 14.53
Oranjemund,-28.55,16.43,54.16,91,0,7.23,2019_07_14 14.53
Maua,0.23,37.94,49.84,97,83,8.39,2019_07_14 14.53
Embrach,47.51,8.59,57.56,87,75,5.82,2019_07_14 14.53
Valleyview,55.07,-117.28,74.68,39,29,7.2,2019_07_14 14.53
Contai,21.78,87.75,86.38,66,89,10.65,2019_07_14 14.53
Biskamzha,53.45,89.53,50.38,90,0,4.85,2019_07_14 14.53
Plettenberg Bay,-34.05,23.37,51.28,89,15,2.89,2019_07_14 14.53
Luau,-10.7,22.23,64.06,26,0,4.85,2019_07_14 14.53
Palwal,28.14,77.33,90.72,69,75,10.29,2019_07_14 14.53
Boa Vista,2.82,-60.67,89.6,46,40,5.82,2019_07_14 14.53
Palana,59.08,159.95,51.82,86,33,25.43,2019_07_14 14.53
Margate,-43.03,147.26,45.05,61,40,14.99,2019_07_14 14.53
Bontang,0.12,117.47,70.36,99,70,2.04,2019_07_14 14.53
Jaguarao,-32.57,-53.38,46.78,85,8,4.74,2019_07_14 14.53
Curuguaty,-24.47,-55.69,70.36,82,29,3.06,2019_07_14 14.53
Anadyr,64.73,177.51,55.2,87,75,15.66,2019_07_14 14.53
Paita,-5.09,-81.11,62.6,290,0,13.87,2019_07_14 14.53
Okakarara,-20.59,17.46,53.44,15,0,9.48,2019_07_14 14.53
Abu Dhabi,24.47,54.37,92.25,67,61,5.82,2019_07_14 14.53
Sassandra,4.95,-6.09,70.18,86,0,2.55,2019_07_14 14.53
Matadi,-5.83,13.46,71.44,81,0,3.91,2019_07_14 14.53
Taoudenni,22.68,-3.98,98.98,16,28,6.26,2019_07_14 14.53
Koungheul,13.98,-14.8,89.08,54,0,15.17,2019_07_14 14.53
Chimbote,-9.08,-78.59,62.8,87,0,16.82,2019_07_14 14.53
Bucerias,20.76,-105.33,84.52,62,75,9.17,2019_07_14 14.53
Quang Ngai,15.12,108.8,70.54,96,3,3.51,2019_07_14 14.53
Havoysund,71,24.66,45.63,81,75,8.05,2019_07_14 14.53
San Pedro,-33.68,-59.66,55,70,23,2.86,2019_07_14 14.53
Veseloyarsk,51.29,81.11,66.04,69,0,12.39,2019_07_14 14.53
Glens Falls,43.31,-73.64,80.58,42,75,11.41,2019_07_14 14.53
Chimoio,-19.11,33.48,60.8,77,20,0.74,2019_07_14 14.53
Hirara,24.8,125.28,83.32,82,0,11.27,2019_07_14 14.53
Nikel,69.41,30.21,46.4,75,75,6.93,2019_07_14 14.53
Grand Gaube,-20.01,57.66,64.67,77,40,3.36,2019_07_14 14.53
Maragogi,-9.01,-35.22,72.7,92,37,4.56,2019_07_14 14.53
Lasa,34.92,32.53,74.62,78,40,9.17,2019_07_14 14.53
Tecoanapa,16.99,-99.26,86,70,40,8.05,2019_07_14 14.53
Bull Savanna,17.89,-77.59,84.58,73,4,14.9,2019_07_14 14.53
Narsaq,60.91,-46.05,62.6,36,0,10.29,2019_07_14 14.53
Merauke,-8.49,140.4,77.38,84,100,23.85,2019_07_14 14.53
Kirakira,-10.46,161.92,79,86,100,4.34,2019_07_14 14.53
Mchinji,-13.8,32.89,53.62,82,0,3.6,2019_07_14 14.53
Tulun,54.56,100.58,55.96,97,100,8.19,2019_07_14 14.53
Pangoa,-12.12,-73,84.58,51,3,4.9,2019_07_14 14.53
Mhango,-2.75,33.92,70.36,48,66,11.7,2019_07_14 14.53
Wick,51.45,-2.43,63.45,72,0,6.93,2019_07_14 14.53
Elmina,5.09,-1.35,75.04,86,0,10.63,2019_07_14 14.53
Oshikango,-17.39,15.89,62.6,20,0,2.24,2019_07_14 14.53
Saint Anthony,43.97,-111.68,85.33,25,1,12.75,2019_07_14 14.53
Pilar,-34.46,-58.91,53.29,71,0,5.82,2019_07_14 14.53
